SEQNUM,BIN_ACCOUNT_MIN_LENGTH,BIN_ACCOUNT_MAX_LENGTH,BIN_ACCOUNT_RANGE_LOW,BIN_ACCOUNT_RANGE_HIGH,BIN_CARD_TYPE,BIN_MOD10_CHECK,BIN_EXPIRY_DATE_CHECK,BIN_PROMPT_CVV,BIN_PROMPT_AVS,BIN_CARD_NAME,BIN_CARD_MNEMONICS,BIN_OFFLINE_FLOOR_LIMIT,BIN_QPS_FLOOR_LIMIT,BIN_DURBIN_BIN_REG_INDICATOR,BIN_IS_WHITELISTED
56,16,16,449270957,449270957,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
57,16,16,449270959,449270961,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
58,16,16,449270964,449270968,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
59,16,16,449270970,449270970,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
60,16,16,449270972,449270974,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
61,16,16,449270978,449270978,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
62,16,16,449270980,449270981,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
63,16,16,449270985,449270985,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
64,16,16,449270988,449270991,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
65,16,16,449270993,449270997,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
66,16,16,449270999,449270999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
67,16,16,449271000,449271010,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
68,16,16,449271013,449271024,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
69,16,16,449271026,449271030,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
70,16,16,449271032,449271038,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
71,16,16,449271041,449271042,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
72,16,16,449271044,449271045,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
73,16,16,449271047,449271052,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
74,16,16,449271055,449271058,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
75,16,16,449271060,449271062,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
76,16,16,449271064,449271065,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
77,16,16,449271067,449271076,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
78,16,16,449271078,449271097,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
79,16,16,449271099,449271120,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
80,16,16,449271122,449271128,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
81,16,16,449271130,449271147,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
82,16,16,449271149,449271166,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
